Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100
Israel,ISR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100
Israel,ISR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.418492836,1.448634907,1.431974316,1.385569111,1.338553005
Israel,ISR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,28.04105109,28.08902666,27.31812806,29.02104382,27.04794045
Israel,ISR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.82274245,18.97351387,18.38609253,18.61330645,18.63429673
Israel,ISR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,12.75497723,11.9052694,11.32043717,11.49292605,11.39430759
Israel,ISR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.489118892,5.46703107,5.475427006,5.325955768,5.110441773
Israel,ISR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,23.06547209,23.05686212,24.24097539,22.69409183,22.10937575
Israel,ISR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.17124903,29.95495989,29.24225587,29.8939141,29.29847865
Israel,ISR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.10024405,7.16409779,7.23601007,7.28700161,7.47252941
Israel,ISR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.50274849,4.53602934,4.6225481,4.71212816,4.8316865
Israel,ISR,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20.5,21.2,20.5,20.5,..
