Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,27.25,28.5,30,31.1,32.45
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,97.7,97.7,93.43087769,97.7
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.12404249,10.46680769,10.051874,13.38724696,14.05811237
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,11.420006,4.114196613,3.530422461,6.160177217,7.043181081
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,7.585382331,9.502652783,9.898450897,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.10534763,11.81859016,12.62081718,14.20841891,14.8313194
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.52267277,0.60012972,0.64313394,0.55239552,0.49705607
Afghanistan,AFG,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,76.1,77.6,79,80.2,81.6
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.98,99.89,99.89,100,100
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,19.78021442,19.84999447,19.02212664,18.4294953,18.38933234
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,44.53361519,45.83196365,46.62445122,45.23622971,44.97492476
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.763681,21.14196535,20.35840836,21.27941019,20.61965488
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.671519417,5.684427418,6.158166884,6.13329356,6.256195102
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.162303864,1.103581009,1.108696386,1.160544785,1.299676337
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.51578986,17.59022981,18.88748606,18.54596747,18.14437719
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.48361206,6.66606188,6.54604626,6.65958786,..
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.731354,2.80370712,2.6750803,2.82325125,2.86730385
Albania,ALB,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,10.8,12.7,11.7,11.8,8.6
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.6,99.6,99.6,99.6,99.7
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.35619354,99.43369293,99.53002167,99.63774109,99.5
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,11.57870734,12.2200948,11.75590331,11.87420085,12.33672685
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,36.52335059,35.05318267,32.68917073,32.20434095,29.09517944
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,35.38269671,34.24888957,36.33057882,38.80518639,36.84388902
Algeria,DZA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,23.17309737,21.68468255,23.91892299,26.54995282,23.85905099
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.270242856,6.384928983,5.924383327,5.467824356,6.021045994
Algeria,DZA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.17177801,20.87248521,22.63223229,25.86115082,22.71440421
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.97849178,6.60749817,6.27938414,6.16302586,6.25170851
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.9170022,4.47245169,4.14140797,4.05819464,4.06651545
Algeria,DZA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
American Samoa,ASM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,98.81129272,95.23099851,102.2875817,103.599374,94.89953632
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,13.96731055,13.71087928,10.94771242,13.92801252,12.36476043
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..
American Samoa,ASM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
American Samoa,ASM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,..,..,..
American Samoa,ASM,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,3.706089854,3.74112486,3.748832726,3.610284486,3.673689514
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..
Andorra,AND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.02324152,7.00839424,7.16179609,7.43045759,7.40840626
Andorra,AND,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.08250427,5.07095957,5.17742872,5.27287292,5.30793858
Andorra,AND,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,47.4,47.8,48.3,48.7,49.3
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,42,41.78503418,42.90624237,45.29,45.63388062
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.122534372,9.83116886,10.01699597,8.607741802,7.882624763
